iter	RMSE
0	6743.060778
1	6494.437266
2	6353.730699
3	6236.819973
4	6115.662343
5	6073.942983
6	6027.665795
7	5988.346018
8	5938.889841
9	5906.58002
10	5851.006226
11	5838.964625
12	5772.143003
13	5731.367527
14	5686.924432
15	5646.866872
16	5627.345604
17	5616.215514
18	5588.088385
19	5578.24062
20	5563.486566
21	5542.019577
22	5508.451213
23	5438.092241
24	5387.813922
25	5349.490018
26	5335.520716
27	5299.359863
28	5288.002988
29	5272.262841
30	5248.577768
31	5225.141545
32	5203.178958
33	5185.929065
34	5146.649483
35	5135.866601
36	5103.049187
37	5091.97715
38	5075.403585
39	5049.589355
40	5035.897509
41	5024.216637
42	5001.316336
43	4981.429833
44	4969.181486
45	4948.283695
46	4933.540456
47	4923.630979
48	4914.304285
49	4896.70926
50	4888.336268
51	4873.234179
52	4858.821242
53	4846.416564
54	4839.278557
55	4831.4592
56	4816.499425
57	4809.39694
58	4794.871586
59	4782.285984
60	4765.256307
61	4747.758315
62	4738.483768
63	4727.553103
64	4718.51385
65	4713.694241
66	4702.564031
67	4694.796644
68	4688.594232
69	4677.344329
70	4670.974821
71	4661.811864
72	4647.077203
73	4633.217421
74	4626.694219
75	4617.648194
76	4597.82565
77	4585.845691
78	4576.560739
79	4566.647091
80	4559.202547
81	4554.636864
82	4546.37147
83	4541.139737
84	4532.21929
85	4520.930461
86	4517.188055
87	4510.528411
88	4503.120749
89	4494.729282
90	4484.824815
91	4480.183824
92	4472.980921
93	4466.649749
94	4449.336803
95	4444.369102
96	4435.46859
97	4427.052794
98	4418.496628
99	4413.700497
