iter	Passed	Remaining
0	31	3109
1	59	2936
2	89	2907
3	120	2882
4	156	2964
5	189	2973
6	217	2891
7	247	2851
8	282	2859
9	321	2891
10	353	2858
11	389	2852
12	424	2844
13	461	2837
14	499	2828
15	528	2774
16	558	2726
17	589	2687
18	625	2667
19	657	2630
20	685	2578
21	715	2535
22	744	2493
23	774	2451
24	815	2446
25	844	2403
26	873	2362
27	904	2326
28	939	2299
29	971	2267
30	1002	2231
31	1035	2199
32	1067	2166
33	1104	2144
34	1137	2112
35	1168	2077
36	1201	2045
37	1232	2010
38	1265	1979
39	1298	1947
40	1330	1914
41	1361	1879
42	1398	1854
43	1428	1817
44	1457	1781
45	1489	1748
46	1519	1713
47	1555	1685
48	1587	1651
49	1618	1618
50	1647	1582
51	1677	1548
52	1769	1568
53	1901	1619
54	1930	1579
55	1960	1540
56	1991	1502
57	2019	1462
58	2057	1430
59	2088	1392
60	2116	1353
61	2148	1316
62	2178	1279
63	2214	1245
64	2246	1209
65	2275	1172
66	2306	1135
67	2337	1100
68	2375	1067
69	2406	1031
70	2436	995
71	2466	959
72	2497	923
73	2536	891
74	2564	854
75	2594	819
76	2627	784
77	2659	750
78	2698	717
79	2728	682
80	2757	646
81	2788	612
82	2820	577
83	2853	543
84	2885	509
85	2916	474
86	2944	439
87	2984	406
88	3013	372
89	3042	338
90	3074	304
91	3105	270
92	3142	236
93	3171	202
94	3202	168
95	3234	134
96	3267	101
97	3302	67
98	3335	33
99	3367	0
